"island.size","deer.pop"
"1",47.4721122489733,646.129606308858
"2",45.2401360105036,638.036171696155
"3",62.9190125454521,789.29843212199
"4",71.7949787425335,809.389637409304
"5",60.3879397847913,803.163583472469
"6",71.2669161869447,918.940549534981
"7",61.4491698580213,798.901443402763
"8",68.0216960540412,855.246929522808
"9",39.1685304072376,538.126326698471
"10",52.472601681637,716.358333669181
"11",55.383256751678,670.53934054198
"12",62.0466523101836,780.570207236266
"13",68.8147518700102,846.189927101938
"14",45.2496001818911,613.07508127159
"15",78.4600735473401,977.756012713
"16",59.090005520808,830.377344952863
"17",53.1448481409464,814.599824119056
"18",45.4347053197855,603.874116735255
"19",71.386049292591,894.824895349617
"20",80.0789632263721,1047.0171242145
"21",41.855482771583,569.357940783717
"22",76.8326803579467,1012.32505923404
"23",49.7377471869394,704.205031404897
"24",53.8606015855269,756.399132380265
"25",63.0600731002386,858.682406411977
